COHORT    ,OPEID  ,NAME                                         ,TYPE    ,CIPCODE ,CIPDESC                                                                              ,CREDLEV ,CREDDESC                             ,COUNT             ,DEBTMEDIAN        ,DEBTMEAN          ,IPEDSCOUNT
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,1002    ,Audiovisual Communications Technologies/Technicians.                                 ,3       ,Bachelors Degree                    ,29                ,31000             ,34379             ,35
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,1101    ,"Computer and Information Sciences, General."                                        ,3       ,Bachelors Degree                    ,25                ,36250             ,37194             ,33
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,1312    ,"Teacher Education and Professional Development, Specific Levels and Methods."       ,5       ,Master's Degree                      ,43                ,45261             ,44636             ,48
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,1313    ,"Teacher Education and Professional Development, Specific Subject Areas."            ,3       ,Bachelors Degree                    ,46                ,31505             ,33085             ,57
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,4201    ,"Psychology, General."                                                               ,3       ,Bachelors Degree                    ,40                ,36250             ,36400             ,46
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,4228    ,"Clinical, Counseling and Applied Psychology."                                       ,5       ,Master's Degree                      ,86                ,61668             ,63537             ,115
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,4301    ,Criminal Justice and Corrections.                                                    ,3       ,Bachelors Degree                    ,40                ,35375             ,33951             ,47
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,4407    ,Social Work.                                                                         ,3       ,Bachelors Degree                    ,45                ,36500             ,35718             ,50
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,4407    ,Social Work.                                                                         ,5       ,Master's Degree                      ,141               ,50835             ,51613             ,161
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,5102    ,Communication Disorders Sciences and Services.                                       ,5       ,Master's Degree                      ,34                ,49767             ,55815             ,43
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,5202    ,"Business Administration, Management and Operations."                                ,3       ,Bachelors Degree                    ,68                ,34648             ,35321             ,84
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,5202    ,"Business Administration, Management and Operations."                                ,5       ,Master's Degree                      ,48                ,55313             ,56947             ,61
2016_2017 ,001002 ,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY ,PUBLIC  ,5214    ,Marketing.                                                                           ,3       ,Bachelors Degree                    ,18                ,PrivacySuppressed ,34173             ,22
2016_2017 ,001003 ,FAULKNER UNIVERSITY                          ,PRIVATE ,2201    ,Law.                                                                                 ,7       ,First Professional Degree            ,10                ,PrivacySuppressed ,154834            ,148
2016_2017 ,001003 ,FAULKNER UNIVERSITY                          ,PRIVATE ,4301    ,Criminal Justice and Corrections.                                                    ,3       ,Bachelors Degree                    ,61                ,18750             ,25776             ,162
2016_2017 ,001003 ,FAULKNER UNIVERSITY                          ,PRIVATE ,4301    ,Criminal Justice and Corrections.                                                    ,5       ,Master's Degree                      ,16                ,PrivacySuppressed ,24282             ,65
2016_2017 ,001003 ,FAULKNER UNIVERSITY                          ,PRIVATE ,5115    ,Mental and Social Health Services and Allied Professions.                            ,5       ,Master's Degree                      ,28                ,55625             ,54721             ,70
2016_2017 ,001003 ,FAULKNER UNIVERSITY                          ,PRIVATE ,5201    ,"Business/Commerce, General."                                                        ,3       ,Bachelors Degree                    ,38                ,20500             ,23515             ,105
2016_2017 ,001003 ,FAULKNER UNIVERSITY                          ,PRIVATE ,5202    ,"Business Administration, Management and Operations."                                ,3       ,Bachelors Degree                    ,130               ,21695             ,25667             ,354
2016_2017 ,001003 ,FAULKNER UNIVERSITY                          ,PRIVATE ,5202    ,"Business Administration, Management and Operations."                                ,5       ,Master's Degree                      ,31                ,30750             ,28480             ,66
2016_2017 ,001003 ,FAULKNER UNIVERSITY                          ,PRIVATE ,5210    ,Human Resources Management and Services.                                             ,3       ,Bachelors Degree                    ,47                ,32000             ,32364             ,139
2016_2017 ,001003 ,FAULKNER UNIVERSITY                          ,PRIVATE ,5213    ,Management Sciences and Quantitative Methods.                                        ,5       ,Master's Degree                      ,36                ,30500             ,26218             ,72
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,0907    ,"Radio, Television, and Digital Communication."                                      ,3       ,Bachelors Degree                    ,34                ,26500             ,28244             ,51
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,1311    ,Student Counseling and Personnel Services.                                           ,5       ,Master's Degree                      ,33                ,44775             ,44255             ,76
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,1312    ,"Teacher Education and Professional Development, Specific Levels and Methods."       ,3       ,Bachelors Degree                    ,77                ,26000             ,26228             ,100
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,1312    ,"Teacher Education and Professional Development, Specific Levels and Methods."       ,5       ,Master's Degree                      ,61                ,30750             ,32821             ,118
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,1901    ,"Family and Consumer Sciences/Human Sciences, General."                              ,3       ,Bachelors Degree                    ,31                ,27000             ,28220             ,43
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,2301    ,"English Language and Literature, General."                                          ,3       ,Bachelors Degree                    ,29                ,24750             ,27567             ,49
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,3105    ,Health and Physical Education/Fitness.                                               ,3       ,Bachelors Degree                    ,56                ,22912             ,24116             ,95
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,4201    ,"Psychology, General."                                                               ,3       ,Bachelors Degree                    ,46                ,24108             ,26624             ,66
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,4407    ,Social Work.                                                                         ,3       ,Bachelors Degree                    ,39                ,25000             ,25197             ,50
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,4510    ,Political Science and Government.                                                    ,3       ,Bachelors Degree                    ,12                ,PrivacySuppressed ,26619             ,23
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,4511    ,Sociology.                                                                           ,3       ,Bachelors Degree                    ,21                ,25000             ,24306             ,31
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,5005    ,Drama/Theatre Arts and Stagecraft.                                                   ,3       ,Bachelors Degree                    ,26                ,24797             ,22877             ,36
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,5007    ,Fine and Studio Arts.                                                                ,3       ,Bachelors Degree                    ,67                ,26300             ,25257             ,103
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,5009    ,Music.                                                                               ,3       ,Bachelors Degree                    ,15                ,PrivacySuppressed ,29683             ,30
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,5102    ,Communication Disorders Sciences and Services.                                       ,3       ,Bachelors Degree                    ,36                ,19750             ,19715             ,76
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,5102    ,Communication Disorders Sciences and Services.                                       ,5       ,Master's Degree                      ,30                ,41000             ,40721             ,49
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,5202    ,"Business Administration, Management and Operations."                                ,3       ,Bachelors Degree                    ,20                ,19742             ,22425             ,36
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,5202    ,"Business Administration, Management and Operations."                                ,5       ,Master's Degree                      ,12                ,PrivacySuppressed ,27022             ,35
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,5203    ,Accounting and Related Services.                                                     ,3       ,Bachelors Degree                    ,29                ,27000             ,29449             ,47
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,5208    ,Finance and Financial Management Services.                                           ,3       ,Bachelors Degree                    ,12                ,PrivacySuppressed ,20260             ,22
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,5214    ,Marketing.                                                                           ,3       ,Bachelors Degree                    ,20                ,18671             ,21625             ,30
2016_2017 ,001004 ,UNIVERSITY OF MONTEVALLO                     ,PUBLIC  ,5401    ,History.                                                                             ,3       ,Bachelors Degree                    ,24                ,24625             ,21856             ,50